2021-09-14T10:24:09.712003+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T10:29:46.645876+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T10:42:10.860911+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T10:42:44.178306+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T10:43:03.501145+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T10:43:27.055335+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T10:46:10.676065+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T10:46:34.190758+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T10:51:12.049413+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T10:56:16.884814+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T10:57:06.743825+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T10:58:10.003101+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T10:58:38.023271+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T11:57:18.080233+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T12:05:14.970064+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T12:06:20.890380+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T12:06:52.053380+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T12:13:07.980490+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T12:15:15.288161+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T12:18:40.514187+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T12:20:36.173404+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T12:30:59.131261+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T12:31:46.355223+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T12:32:33.295329+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T12:41:26.597381+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T12:54:52.787109+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T12:56:27.599172+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T12:57:42.773069+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T12:58:30.044252+0300 INFO, {'price_standart': 800, 'price_express': 1040.0, 'convert_price': 600, 'inter_terminal': 800, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T12:58:33.512739+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T12:58:36.833118+0300 INFO, {'price_standart': 600, 'price_express': 750.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': 100, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T12:58:38.059535+0300 INFO, {'price_standart': 700, 'price_express': 850.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': 100, 'price_from_address': 100, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T13:14:37.075088+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T13:15:20.727488+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T13:15:45.583056+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T13:23:01.301923+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T13:25:21.759184+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T13:25:42.226851+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T13:42:32.872003+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T13:43:35.128530+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T13:51:28.414631+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T13:57:29.923245+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T13:58:33.487062+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T13:59:43.342153+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T14:00:35.376783+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T14:01:48.503899+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T14:02:12.999774+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T14:10:26.644404+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T14:11:12.373125+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T14:11:59.204946+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T14:13:10.592957+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T14:13:37.039248+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T14:14:22.340401+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T14:16:39.207737+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T14:16:52.250326+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T14:27:16.537109+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T14:32:34.608597+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T16:12:26.227373+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T16:13:12.131714+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T16:40:28.726622+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T17:42:45.348165+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T17:44:14.014841+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T17:49:22.667757+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T17:53:05.775646+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T17:55:48.631878+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T17:55:55.862624+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T17:55:56.041148+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T17:55:56.047130+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T17:56:11.239356+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-14T17:56:11.483990+0300 INFO, {'price_standart': 500, 'price_express': 650.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': False, 'price_from_address': False, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
