2021-09-15T16:13:34.705822+0300 INFO, {'price_standart': 1400, 'price_express': 1640.0, 'convert_price': 600, 'inter_terminal': 800, 'price_to_address': 300, 'price_from_address': 300, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:15:23.190875+0300 INFO, {'price_standart': 700, 'price_express': 850.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': 100, 'price_from_address': 100, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:15:23.494856+0300 INFO, {'price_standart': 1400, 'price_express': 1640.0, 'convert_price': 600, 'inter_terminal': 800, 'price_to_address': 300, 'price_from_address': 300, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:15:27.965718+0300 INFO, {'price_standart': 700, 'price_express': 850.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': 100, 'price_from_address': 100, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:15:30.979171+0300 INFO, {'price_standart': 700, 'price_express': 850.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': 100, 'price_from_address': 100, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:15:31.241997+0300 INFO, {'price_standart': 1400, 'price_express': 1640.0, 'convert_price': 600, 'inter_terminal': 800, 'price_to_address': 300, 'price_from_address': 300, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:15:32.396278+0300 INFO, {'price_standart': 1400, 'price_express': 1640.0, 'convert_price': 600, 'inter_terminal': 800, 'price_to_address': 300, 'price_from_address': 300, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:23:53.902334+0300 INFO, {'price_standart': 700, 'price_express': 850.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': 100, 'price_from_address': 100, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:26:07.403059+0300 INFO, {'price_standart': 700, 'price_express': 850.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': 100, 'price_from_address': 100, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:26:07.631482+0300 INFO, {'price_standart': 1400, 'price_express': 1640.0, 'convert_price': 600, 'inter_terminal': 800, 'price_to_address': 300, 'price_from_address': 300, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:26:10.624072+0300 INFO, {'price_standart': 1400, 'price_express': 1640.0, 'convert_price': 600, 'inter_terminal': 800, 'price_to_address': 300, 'price_from_address': 300, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:29:22.365808+0300 INFO, {'price_standart': 700, 'price_express': 850.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': 100, 'price_from_address': 100, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:32:17.755890+0300 INFO, {'price_standart': 700, 'price_express': 850.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': 100, 'price_from_address': 100, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:32:31.149453+0300 INFO, {'price_standart': 700, 'price_express': 850.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': 100, 'price_from_address': 100, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:32:31.365658+0300 INFO, {'price_standart': 1400, 'price_express': 1640.0, 'convert_price': 600, 'inter_terminal': 800, 'price_to_address': 300, 'price_from_address': 300, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:32:33.168480+0300 INFO, {'price_standart': 1400, 'price_express': 1640.0, 'convert_price': 600, 'inter_terminal': 800, 'price_to_address': 300, 'price_from_address': 300, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:32:45.076659+0300 INFO, {'price_standart': 700, 'price_express': 850.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': 100, 'price_from_address': 100, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:32:48.847176+0300 INFO, {'price_standart': 700, 'price_express': 850.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': 100, 'price_from_address': 100, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:32:49.020150+0300 INFO, {'price_standart': 1400, 'price_express': 1640.0, 'convert_price': 600, 'inter_terminal': 800, 'price_to_address': 300, 'price_from_address': 300, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:32:49.767217+0300 INFO, {'price_standart': 1400, 'price_express': 1640.0, 'convert_price': 600, 'inter_terminal': 800, 'price_to_address': 300, 'price_from_address': 300, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:33:38.567203+0300 INFO, {'price_standart': 700, 'price_express': 850.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': 100, 'price_from_address': 100, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:33:45.962109+0300 INFO, {'price_standart': 700, 'price_express': 850.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': 100, 'price_from_address': 100, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:33:46.217661+0300 INFO, {'price_standart': 1400, 'price_express': 1640.0, 'convert_price': 600, 'inter_terminal': 800, 'price_to_address': 300, 'price_from_address': 300, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
